encoder,dataset,k,config_name,objective,target_type,steps,acc_mean,acc_std,baseline_mean,delta,delta_std,runs
resnet18,aircraft,10,standard_guided_T12_n0p15_s1lr0p1,standard,guided,12,0.2746274570624034,0.004073491188725938,0.2720271944999695,0.0026002625624338784,0.002722391633704923,3
resnet18,aircraft,10,standard_guided_T12_s1lr0p1,standard,guided,12,0.2745274504025777,0.004058729441009679,0.2720271944999695,0.002500255902608236,0.005041334811858779,3
resnet18,aircraft,10,rolled_ce_T12_joint,rolled_ce,none,12,0.2627262572447459,0.009297695237111037,0.2720271944999695,-0.009300937255223593,0.00865417625752287,3
resnet18,aircraft,10,rolled_ce_T12,rolled_ce,none,12,0.2601260046164195,0.007869707067787552,0.2720271944999695,-0.011901189883550009,0.007302096815903057,3
dinov2_vits14,dtd,10,standard_guided_T12_s1lr0p1,standard,guided,12,0.6969857811927795,0.0062107343412963634,0.695212741692861,0.0017730394999186199,0.0026238588490074986,3
dinov2_vits14,dtd,10,standard_guided_T12_n0p15_s1lr0p1,standard,guided,12,0.6925531625747681,0.013860420823168093,0.695212741692861,-0.002659579118092855,0.007943171732783035,3
dinov2_vits14,dtd,10,rolled_ce_T12_joint,rolled_ce,none,12,0.6923758784929911,0.0045860050126240014,0.695212741692861,-0.0028368631998697915,0.003460835036535989,3
dinov2_vits14,dtd,10,rolled_ce_T12,rolled_ce,none,12,0.687588632106781,0.0037737334229713286,0.695212741692861,-0.007624109586079915,0.00771427960949965,3
